data_type,n,d,livello,rep,method,measure,acc./ARI
Torus,100,10,facile,27,pca,tree,0.87
Gauss,100,10,facile,28,tsne,kmeans,0.4849
Gauss,100,10,facile,28,tsne,tree,0.9
Gauss,100,10,facile,28,umap,kmeans,0.5431
Gauss,100,10,facile,28,umap,tree,0.89
Gauss,100,10,facile,28,pca,kmeans,0.4569
Gauss,100,10,facile,28,pca,tree,0.9
Torus,100,10,facile,28,tsne,kmeans,0.3296
Torus,100,10,facile,28,tsne,tree,0.92
Torus,100,10,facile,28,umap,kmeans,0.3296
Torus,100,10,facile,28,umap,tree,0.9
Torus,100,10,facile,28,pca,kmeans,0.2037
Torus,100,10,facile,28,pca,tree,0.94
Gauss,100,10,facile,29,tsne,kmeans,0.7369
Gauss,100,10,facile,29,tsne,tree,0.92
Gauss,100,10,facile,29,umap,kmeans,0.7721
Gauss,100,10,facile,29,umap,tree,0.92
Gauss,100,10,facile,29,pca,kmeans,0.7369
Gauss,100,10,facile,29,pca,tree,0.96
Torus,100,10,facile,29,tsne,kmeans,0.1208
Torus,100,10,facile,29,tsne,tree,0.96
Torus,100,10,facile,29,umap,kmeans,0.3306
Torus,100,10,facile,29,umap,tree,0.96
Torus,100,10,facile,29,pca,kmeans,0.069
Torus,100,10,facile,29,pca,tree,0.87
Gauss,100,10,facile,30,tsne,kmeans,0.5138
Gauss,100,10,facile,30,tsne,tree,0.89
Gauss,100,10,facile,30,umap,kmeans,0.4852
Gauss,100,10,facile,30,umap,tree,0.89
Gauss,100,10,facile,30,pca,kmeans,0.5432
Gauss,100,10,facile,30,pca,tree,0.91
Torus,100,10,facile,30,tsne,kmeans,0.3066
Torus,100,10,facile,30,tsne,tree,0.94
Torus,100,10,facile,30,umap,kmeans,0.3308
Torus,100,10,facile,30,umap,tree,0.89
Torus,100,10,facile,30,pca,kmeans,0.0933
Torus,100,10,facile,30,pca,tree,0.93
Gauss,100,10,facile,31,tsne,kmeans,0.4848
Gauss,100,10,facile,31,tsne,tree,0.86
Gauss,100,10,facile,31,umap,kmeans,0.4299
Gauss,100,10,facile,31,umap,tree,0.9
